Group,Tipos_de_arboles,DBH_cm
1,Palmas,5.1
1,Palmas,3.8
1,Palmas,7.8
1,Palmas,30.9
1,Palmas,37.5
1,Palmas,31
1,Palmas,39.9
1,Palmas,16.1
1,Palmas,19.9
1,Palmas,19.5
1,Palmas,53.1
1,Palmas,37.5
1,Palmas,32.6
1,Palmas,33.3
1,Palmas,39.5
2,Palmas,17.5
2,Palmas,30.9
2,Palmas,19
2,Palmas,25
2,Palmas,63
2,Palmas,5.1
2,Palmas,7
2,Palmas,20.6
2,Palmas,30.6
2,Palmas,21.2
2,Palmas,6.3
2,Palmas,14.6
3,Otros,14.6
3,Otros,35.1
3,Otros,17.1
3,Otros,140.1
3,Otros,16.85
3,Otros,40.6
3,Otros,29.2
3,Otros,24.9
3,Otros,44.8
3,Otros,12.8
3,Otros,24.4
3,Otros,25.4
3,Otros,15.8
3,Otros,21.4
3,Otros,45.2
4,Otros,18
4,Otros,59.3
4,Otros,29.3
4,Otros,25.2
4,Otros,43.9
4,Otros,33.6
4,Otros,67.7
4,Otros,64
4,Otros,57.5
4,Otros,92
4,Otros,17.9
4,Otros,22.3
4,Otros,41
5,Otros,24.5
5,Otros,29.45
5,Otros,13.05
5,Otros,13.25
5,Otros,23.35
5,Otros,15.4
5,Otros,54.2
5,Otros,22
5,Otros,15.15
5,Otros,22.8
5,Otros,25.5
5,Otros,16.75
5,Otros,20.1
5,Otros,10.35