Num_Ind,Altura,Num_Inflorescencia,Ancho_Hoja
1,16.5,10,1.16
2,13.3,6,0.84
3,19,17,1
4,17.7,3,1.97
5,13.2,7,1.79
6,15.2,2,1.23
7,17,13,0.86
8,13.5,12,0.85
9,10.2,9,1.21
10,15.9,13,1.01
11,16.7,4,0.88
12,11,3,1.2
13,10.7,13,1.05
14,17.5,13,1.04
15,21.2,37,1.67
16,18,31,1.29
17,12.4,19,1.16
18,19,24,1.67
19,20.4,18,1.63
20,8,2,1.25
21,9,5,1.37
22,19.5,13,0.94
23,8,2,1.48
24,9.2,6,0.54
25,9,10,0.79
26,9,3,1.11
27,11.2,14,1.18
28,13,3,1.87
29,7.8,8,1.03
30,26.4,10,0.84
31,28.8,31,0.9
32,24.5,27,1.3
33,6.4,17,1.6
34,10.3,35,1.1
35,6.6,9,1
36,9.5,20,1.1
37,10.7,26,1.2
38,23.6,23,1.3
39,22.6,10,0.9
40,25.4,35,1.2
41,21.1,18,1.2
42,18.3,13,1.4
43,22,23,1.2
44,29.4,23,1.1
45,29.2,40,1.3
,,,
46,22.5,17,1
47,27.8,28,1.34
48,19.2,22,1.63
49,17.7,16,1.4
50,20,20,1.2
51,20.7,60,1.26
52,22.5,33,1.05
53,15.3,32,0.97
54,9.1,8,1.41
55,15.9,18,0.99
56,5.7,9,0.56
57,26.5,49,1.82
58,21.2,24,1.27
59,20.6,25,1.03
60,9.4,11,1.05
61,18,6,0.7
62,8.6,3,0.64
63,22.8,19,0.71
64,14.2,7,1.03
65,23.6,26,0.72
66,11.1,7,0.86
67,23.9,26,0.71
68,20.9,13,0.79
69,27.1,19,0.81
70,20.2,23,0.91
71,27.9,39,0.8
72,21.8,12,0.74
73,27.4,48,1.05
74,22.9,24,0.7
75,16.9,8,0.9
76,15.3,19,1.58
77,16.3,20,0.81
78,17.9,15,1.26
79,23.2,20,0.73
80,9.6,4,0.83
81,13.5,17,1.03
82,11.6,10,0.91
83,11.5,5,0.84
84,26.2,30,1.22
85,30.4,37,1.39
86,29.9,64,0.88
87,23,28,0.6
88,26.7,55,1.39
89,17.9,18,1.13
90,17.9,18,1.4
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,